Brand,Product Name,Color,RAM,ROM,Primary Camera,Secondary Camera,Display,Battery,Price,url
REDMI,REDMI Note 11T 5G ,Aquamarine Blue,6 GB RAM , 128 GB ROM,['50MP Rear Camera'],-,16.76 cm (6.6 inch) Display,5000 mAh Battery,"₹16,785",https://www.flipkart.com/redmi-note-11t-5g-aquamarine-blue-128-gb/p/itm0dd08e65983e7?pid=MOBG9G3W5TBBXNTK&lid=LSTMOBG9G3W5TBBXNTKJC3NBW&marketplace=FLIPKART&q=redmi+note&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=ff64c6f7-4119-4409-a755-3480e9d88cf7.MOBG9G3W5TBBXNTK.SEARCH&ppt=hp&ppn=homepage&ssid=dnbn3bvqsw0000001659075920283&qH=0a8630c62852d4bf
Redmi,Redmi Note 11 ,Horizon Blue,6 GB RAM , 128 GB ROM,['50MP Rear Camera'],-,16.33 cm (6.43 inch) Display,5000 mAh Battery,"₹15,290",https://www.flipkart.com/redmi-note-11-horizon-blue-128-gb/p/itm2a388ca843b21?pid=MOBGBGAMRJGHTKUM&lid=LSTMOBGBGAMRJGHTKUM2ZZ78G&marketplace=FLIPKART&q=redmi+note&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=ff64c6f7-4119-4409-a755-3480e9d88cf7.MOBGBGAMRJGHTKUM.SEARCH&ppt=hp&ppn=homepage&ssid=dnbn3bvqsw0000001659075920283&qH=0a8630c62852d4bf
REDMI,REDMI Note 11T 5G ,Matte black,8 GB RAM , 128 GB ROM,['50MP Rear Camera'],-,16.76 cm (6.6 inch) Display,5000 mAh Battery,"₹17,740",https://www.flipkart.com/redmi-note-11t-5g-matte-black-128-gb/p/itm0dd08e65983e7?pid=MOBG9G5UBHV9HC8Y&lid=LSTMOBG9G5UBHV9HC8Y5CACTQ&marketplace=FLIPKART&q=redmi+note&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=ff64c6f7-4119-4409-a755-3480e9d88cf7.MOBG9G5UBHV9HC8Y.SEARCH&ppt=hp&ppn=homepage&ssid=dnbn3bvqsw0000001659075920283&qH=0a8630c62852d4bf
Redmi,Redmi Note 11 ,Space Black,4 GB RAM , 64 GB ROM ,50MP + 8MP + 2MP + 2MP , 13MP Front Camera,16.33 cm (6.43 inch) Full HD+ Display,5000 mAh Battery,"₹12,720",https://www.flipkart.com/redmi-note-11-space-black-64-gb/p/itm2a388ca843b21?pid=MOBGBHCHRPUQY9AT&lid=LSTMOBGBHCHRPUQY9ATADOG1W&marketplace=FLIPKART&q=redmi+note&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=ff64c6f7-4119-4409-a755-3480e9d88cf7.MOBGBHCHRPUQY9AT.SEARCH&ppt=hp&ppn=homepage&ssid=dnbn3bvqsw0000001659075920283&qH=0a8630c62852d4bf
Redmi,Redmi Note 11 ,Space Black,6 GB RAM , 128 GB ROM,['50MP Rear Camera'],-,16.33 cm (6.43 inch) Display,5000 mAh Battery,"₹15,582",https://www.flipkart.com/redmi-note-11-space-black-128-gb/p/itm2a388ca843b21?pid=MOBGBHCK9HJQZNBK&lid=LSTMOBGBHCK9HJQZNBK3BCNLW&marketplace=FLIPKART&q=redmi+note&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=ff64c6f7-4119-4409-a755-3480e9d88cf7.MOBGBHCK9HJQZNBK.SEARCH&ppt=hp&ppn=homepage&ssid=dnbn3bvqsw0000001659075920283&qH=0a8630c62852d4bf
Redmi,Redmi Note 11 ,Space Black,6 GB RAM , 64 GB ROM,['50MP Rear Camera'],-,16.33 cm (6.43 inch) Display,5000 mAh Battery,"₹13,369",https://www.flipkart.com/redmi-note-11-space-black-64-gb/p/itm2a388ca843b21?pid=MOBGBHCKZNYYG5QA&lid=LSTMOBGBHCKZNYYG5QAQ7G5NW&marketplace=FLIPKART&q=redmi+note&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=ff64c6f7-4119-4409-a755-3480e9d88cf7.MOBGBHCKZNYYG5QA.SEARCH&ppt=hp&ppn=homepage&ssid=dnbn3bvqsw0000001659075920283&qH=0a8630c62852d4bf
Redmi,Redmi Note 11 ,Horizon Blue,4 GB RAM , 64 GB ROM ,50MP + 8MP + 2MP + 2MP , 13MP Front Camera,16.33 cm (6.43 inch) Full HD+ Display,5000 mAh Battery,"₹12,314",https://www.flipkart.com/redmi-note-11-horizon-blue-64-gb/p/itm2a388ca843b21?pid=MOBGBGAETVKA2NEZ&lid=LSTMOBGBGAETVKA2NEZQKREQ9&marketplace=FLIPKART&q=redmi+note&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=ff64c6f7-4119-4409-a755-3480e9d88cf7.MOBGBGAETVKA2NEZ.SEARCH&ppt=hp&ppn=homepage&ssid=dnbn3bvqsw0000001659075920283&qH=0a8630c62852d4bf
REDMI,REDMI Note 11T 5G ,Stardust White,8 GB RAM , 128 GB ROM,['50MP Rear Camera'],-,16.76 cm (6.6 inch) Display,5000 mAh Battery,"₹17,797",https://www.flipkart.com/redmi-note-11t-5g-stardust-white-128-gb/p/itm0dd08e65983e7?pid=MOBG9G6YVZYQY7ZZ&lid=LSTMOBG9G6YVZYQY7ZZMYHFMU&marketplace=FLIPKART&q=redmi+note&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=ff64c6f7-4119-4409-a755-3480e9d88cf7.MOBG9G6YVZYQY7ZZ.SEARCH&ppt=hp&ppn=homepage&ssid=dnbn3bvqsw0000001659075920283&qH=0a8630c62852d4bf
REDMI,REDMI Note 11T 5G ,Stardust White,6 GB RAM , 128 GB ROM,['50MP Rear Camera'],-,16.76 cm (6.6 inch) Display,5000 mAh Battery,"₹15,492",https://www.flipkart.com/redmi-note-11t-5g-stardust-white-128-gb/p/itm0dd08e65983e7?pid=MOBG9G37CUVZYMTW&lid=LSTMOBG9G37CUVZYMTWOXKVHU&marketplace=FLIPKART&q=redmi+note&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=ff64c6f7-4119-4409-a755-3480e9d88cf7.MOBG9G37CUVZYMTW.SEARCH&ppt=hp&ppn=homepage&ssid=dnbn3bvqsw0000001659075920283&qH=0a8630c62852d4bf
Redmi,Redmi Note 11 PRO Plus 5G ,Stealth Black,8 GB RAM , 128 GB ROM,['108MP Rear Camera'],-,16.94 cm (6.67 inch) Display,5000 mAh Battery,"₹22,966",https://www.flipkart.com/redmi-note-11-pro-plus-5g-stealth-black-128-gb/p/itmd029928dc2e7e?pid=MOBGCQRYPFFZE9GA&lid=LSTMOBGCQRYPFFZE9GATOZRMS&marketplace=FLIPKART&q=redmi+note&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=ff64c6f7-4119-4409-a755-3480e9d88cf7.MOBGCQRYPFFZE9GA.SEARCH&ppt=hp&ppn=homepage&ssid=dnbn3bvqsw0000001659075920283&qH=0a8630c62852d4bf
Redmi,Redmi Note 11 ,Starburst White,4 GB RAM , 64 GB ROM,['50MP Rear Camera'],-,16.33 cm (6.43 inch) Display,5000 mAh Battery,"₹12,498",https://www.flipkart.com/redmi-note-11-starburst-white-64-gb/p/itm2a388ca843b21?pid=MOBGBGARKRPMV86Z&lid=LSTMOBGBGARKRPMV86ZURJBXV&marketplace=FLIPKART&q=redmi+note&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=ff64c6f7-4119-4409-a755-3480e9d88cf7.MOBGBGARKRPMV86Z.SEARCH&ppt=hp&ppn=homepage&ssid=dnbn3bvqsw0000001659075920283&qH=0a8630c62852d4bf
Redmi,Redmi Note 11 ,Horizon Blue,6 GB RAM , 64 GB ROM,['50MP Rear Camera'],-,16.33 cm (6.43 inch) Display,5000 mAh Battery,"₹13,479",https://www.flipkart.com/redmi-note-11-horizon-blue-64-gb/p/itm2a388ca843b21?pid=MOBGBGAHFYVRWZAU&lid=LSTMOBGBGAHFYVRWZAULVBKPS&marketplace=FLIPKART&q=redmi+note&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=ff64c6f7-4119-4409-a755-3480e9d88cf7.MOBGBGAHFYVRWZAU.SEARCH&ppt=hp&ppn=homepage&ssid=dnbn3bvqsw0000001659075920283&qH=0a8630c62852d4bf
Redmi,Redmi Note 11 PRO Plus 5G ,Stealth Black,6 GB RAM , 128 GB ROM,['108MP Rear Camera'],-,16.94 cm (6.67 inch) Display,5000 mAh Battery,"₹19,590",https://www.flipkart.com/redmi-note-11-pro-plus-5g-stealth-black-128-gb/p/itmd029928dc2e7e?pid=MOBGCQRR6Z8CA6PU&lid=LSTMOBGCQRR6Z8CA6PUQV6JRZ&marketplace=FLIPKART&q=redmi+note&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=ff64c6f7-4119-4409-a755-3480e9d88cf7.MOBGCQRR6Z8CA6PU.SEARCH&ppt=hp&ppn=homepage&ssid=dnbn3bvqsw0000001659075920283&qH=0a8630c62852d4bf
REDMI,REDMI Note 11 Pro ,Stealth Black,8 GB RAM , 128 GB ROM,['108MP Rear Camera'],-,16.94 cm (6.67 inch) Display,5000 mAh Battery,"₹22,399",https://www.flipkart.com/redmi-note-11-pro-stealth-black-128-gb/p/itme7022ee103b26?pid=MOBGCVG4ZAFHHQWV&lid=LSTMOBGCVG4ZAFHHQWVH5LVOU&marketplace=FLIPKART&q=redmi+note&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=ff64c6f7-4119-4409-a755-3480e9d88cf7.MOBGCVG4ZAFHHQWV.SEARCH&ppt=hp&ppn=homepage&ssid=dnbn3bvqsw0000001659075920283&qH=0a8630c62852d4bf
Redmi,Redmi Note 11 PRO Plus 5G ,Stealth Black,8 GB RAM , 256 GB ROM,108MP Rear Camera , 16MP Front Camera,16.94 cm (6.67 inch) Display,5000 mAh Battery,"₹25,484",https://www.flipkart.com/redmi-note-11-pro-plus-5g-stealth-black-256-gb/p/itmd029928dc2e7e?pid=MOBGCQSBUPZHUNZB&lid=LSTMOBGCQSBUPZHUNZBD7RLQX&marketplace=FLIPKART&q=redmi+note&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=ff64c6f7-4119-4409-a755-3480e9d88cf7.MOBGCQSBUPZHUNZB.SEARCH&ppt=hp&ppn=homepage&ssid=dnbn3bvqsw0000001659075920283&qH=0a8630c62852d4bf
Redmi,Redmi Note 11 PRO Plus 5G ,Phantom White,6 GB RAM , 128 GB ROM,['108MP Rear Camera'],-,16.94 cm (6.67 inch) Display,5000 mAh Battery,"₹19,900",https://www.flipkart.com/redmi-note-11-pro-plus-5g-phantom-white-128-gb/p/itmd029928dc2e7e?pid=MOBGDD7K823GNF4D&lid=LSTMOBGDD7K823GNF4DWVE0DC&marketplace=FLIPKART&q=redmi+note&store=tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=ff64c6f7-4119-4409-a755-3480e9d88cf7.MOBGDD7K823GNF4D.SEARCH&ppt=hp&ppn=homepage&ssid=dnbn3bvqsw0000001659075920283&qH=0a8630c62852d4bf
Redmi,Redmi Note 11 PRO Plus 5G ,Mirage Blue,8 GB RAM , 256 GB ROM,['108MP Rear Camera'],-,16.94 cm (6.67 inch) Display,5000 mAh Battery,"₹25,300",https://www.flipkart.com/redmi-note-11-pro-plus-5g-mirage-blue-256-gb/p/itmd029928dc2e7e?pid=MOBGCQTF5WJZWGZJ&lid=LSTMOBGCQTF5WJZWGZJYSD7UB&marketplace=FLIPKART&q=redmi+note&store=tyy%2F4io&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=ff64c6f7-4119-4409-a755-3480e9d88cf7.MOBGCQTF5WJZWGZJ.SEARCH&ppt=hp&ppn=homepage&ssid=dnbn3bvqsw0000001659075920283&qH=0a8630c62852d4bf
REDMI,REDMI Note 11 Pro ,Phantom White,6 GB RAM , 128 GB ROM,['108MP Rear Camera'],-,16.94 cm (6.67 inch) Display,5000 mAh Battery,"₹20,299",https://www.flipkart.com/redmi-note-11-pro-phantom-white-128-gb/p/itme7022ee103b26?pid=MOBGCVGJ3N2Q5XTD&lid=LSTMOBGCVGJ3N2Q5XTDNAKRLW&marketplace=FLIPKART&q=redmi+note&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=ff64c6f7-4119-4409-a755-3480e9d88cf7.MOBGCVGJ3N2Q5XTD.SEARCH&ppt=hp&ppn=homepage&ssid=dnbn3bvqsw0000001659075920283&qH=0a8630c62852d4bf
Redmi,Redmi Note 9 Pro ,Interstellar Black,4 GB RAM , 64 GB ROM ,48MP + 8MP + 5MP + 2MP , 16MP Front Camera,16.94 cm (6.67 inch) Full HD+ Display,5020 mAh Battery,"₹13,999",https://www.flipkart.com/redmi-note-9-pro-interstellar-black-64-gb/p/itma84d60532d415?pid=MOBFPZXUJHMYCBFK&lid=LSTMOBFPZXUJHMYCBFK9OJXPT&marketplace=FLIPKART&q=redmi+note&store=tyy%2F4io&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=ff64c6f7-4119-4409-a755-3480e9d88cf7.MOBFPZXUJHMYCBFK.SEARCH&ppt=hp&ppn=homepage&ssid=dnbn3bvqsw0000001659075920283&qH=0a8630c62852d4bf
Redmi,Redmi Note 8 ,Space Black,4 GB RAM , 64 GB ROM ,48MP + 8MP + 2MP + 2MP , 13MP Front Camera,16.0 cm (6.3 inch) Full HD+ Display,4000 mAh Lithium Polymer Battery,"₹12,999",https://www.flipkart.com/redmi-note-8-space-black-64-gb/p/itm08591750a9973?pid=MOBFHFFSMVQJYYWY&lid=LSTMOBFHFFSMVQJYYWYJU0GGA&marketplace=FLIPKART&q=redmi+note&store=tyy%2F4io&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=ff64c6f7-4119-4409-a755-3480e9d88cf7.MOBFHFFSMVQJYYWY.SEARCH&ppt=hp&ppn=homepage&ssid=dnbn3bvqsw0000001659075920283&qH=0a8630c62852d4bf
Redmi,Redmi Note 11 ,Starburst White,6 GB RAM , 128 GB ROM,['50MP Rear Camera'],-,16.33 cm (6.43 inch) Display,5000 mAh Battery,"₹15,999",https://www.flipkart.com/redmi-note-11-starburst-white-128-gb/p/itm2a388ca843b21?pid=MOBGBGAYPKGYBUA2&lid=LSTMOBGBGAYPKGYBUA2JYG1X7&marketplace=FLIPKART&q=redmi+note&store=tyy%2F4io&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=ff64c6f7-4119-4409-a755-3480e9d88cf7.MOBGBGAYPKGYBUA2.SEARCH&ppt=hp&ppn=homepage&ssid=dnbn3bvqsw0000001659075920283&qH=0a8630c62852d4bf
Redmi,Redmi Note 9 Pro ,Glacier White,4 GB RAM , 64 GB ROM ,48MP + 8MP + 5MP + 2MP , 16MP Front Camera,16.94 cm (6.67 inch) Full HD+ Display,5020 mAh Battery,"₹14,990",https://www.flipkart.com/redmi-note-9-pro-glacier-white-64-gb/p/itma84d60532d415?pid=MOBFPZXU9QDDSKNU&lid=LSTMOBFPZXU9QDDSKNUWL0E9A&marketplace=FLIPKART&q=redmi+note&store=tyy%2F4io&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=ff64c6f7-4119-4409-a755-3480e9d88cf7.MOBFPZXU9QDDSKNU.SEARCH&ppt=hp&ppn=homepage&ssid=dnbn3bvqsw0000001659075920283&qH=0a8630c62852d4bf
Redmi,Redmi Note 5 Pro ,Gold,4 GB RAM , 64 GB ROM ,12MP + 5MP , 20MP Front Camera,15.21 cm (5.99 inch) Full HD+ Display,4000 mAh Li Polymer Battery,"₹14,999",https://www.flipkart.com/redmi-note-5-pro-gold-64-gb/p/itmf2fc3txmqwdkb?pid=MOBF28FTHZYYGXFY&lid=LSTMOBF28FTHZYYGXFYRE2WTC&marketplace=FLIPKART&q=redmi+note&store=tyy%2F4io&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=ff64c6f7-4119-4409-a755-3480e9d88cf7.MOBF28FTHZYYGXFY.SEARCH&ppt=hp&ppn=homepage&ssid=dnbn3bvqsw0000001659075920283&qH=0a8630c62852d4bf
Redmi,Redmi Note 7 Pro ,Blue,4 GB RAM , 64 GB ROM ,48MP + 5MP , 13MP Front Camera,16.0 cm (6.3 inch) Full HD+ Display,4000 mAh Li-polymer Battery,"₹15,999",https://www.flipkart.com/redmi-note-7-pro-blue-64-gb/p/itm410bac3ec336c?pid=MOBFDXZ376XRTZXH&lid=LSTMOBFDXZ376XRTZXHNZ5V6Z&marketplace=FLIPKART&q=redmi+note&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=ff64c6f7-4119-4409-a755-3480e9d88cf7.MOBFDXZ376XRTZXH.SEARCH&ppt=hp&ppn=homepage&ssid=dnbn3bvqsw0000001659075920283&qH=0a8630c62852d4bf
